001460244363600000010	000460244363610000030
001460244363600000010	000460244363600000068
001460244363600000010	000460244363600000059
001460244363600000010	000460244363610000021
001460244363600000010	000460244363600000031
001460244363600000010	000460244363600000013
001460244363600000010	000460244363600000022
001460244363600000010	000460244363610000012
001460244363600000010	000460244363600000040
001460244363600000010	000460244363610000067
001460244363600000010	000460244363610000076
001460244363600000010	000460244363610000085
001460244363600000010	000460244363600000101
001460244363600000010	000460244363600000095
001460244363600000010	000460244363610000058
001460244363600000010	000460244363600000086
001460244363600000010	000460244363610000049
001460244363600000010	000460244363600000077
001460244363600000010	000460244363610000094
001460244363600000010	000460244363610000100
001460244363600000010	000460244363610000119
001460244363600000010	000460244363600000147
001460244363600000010	000460244363600000156
001460244363600000010	000460244363610000128
001460244363600000010	000460244363600000138
001460244363600000010	000460244363600000129
001460244363600000010	000460244363600000110
001460244363600000010	000460244363600000192
001460244363600000010	000460244363600000208
001460244363600000010	000460244363600000217
001460244363600000010	000460244363600000183
001460244363600000010	000460244363610000155
001460244363600000010	000460244363610000146
001460244363600000010	000460244363610000137
001460244363600000010	000460244363600000165
001460244363600000010	000460244363600000174
001460244363600000010	000460244363610000216
001460244363600000010	000460244363610000207
001460244363600000010	000460244363600000226
001460244363600000010	000460244363610000182
001460244363600000010	000460244363610000173
001460244363600000010	000460244363610000164
001460244363600000010	000460244363610000191
001460244363600000010	000460244363600000235
001460244363600000010	000460244363600000244
001460244363600000010	000460244363610000252
001460244363600000010	000460244363610000243
001460244363600000010	000460244363610000234
001460244363600000010	000460244363600000253
001460244363600000010	000460244363610000225
001460244363600000010	000460244363600000262
001460244363600000010	000460244363600000271
001460244363600000010	000460244363610000270
001460244363600000010	000460244363610000261
001460244363600000029	000460244363610000614
001460244363600000029	000460244363610000605
001460244363600000029	000460244363600000518
001460244363600000029	000460244363610000599
001460244363600000029	000460244363600000527
001460244363600000029	000460244363600000536
001460244363600000029	000460244363610000623
001460244363600000029	000460244363600000545
001460244363600000029	000460244363610000632
001460244363600000029	000460244363610000696
001460244363600000029	000460244363610000669
001460244363600000029	000460244363610000650
001460244363600000029	000460244363600000572
001460244363600000029	000460244363600000563
001460244363600000029	000460244363600000554
001460244363600000029	000460244363610000641
001460244363600000029	000460244363610000678
001460244363600000029	000460244363610000687
001460244363600000029	000460244363610000720
001460244363600000029	000460244363610000711
001460244363600000029	000460244363600000581
001460244363600000029	000460244363600000590
001460244363600000029	000460244363610000702
001460244363600000029	000460244363600000606
001460244363600000029	000460244363600000615
001460244363600000029	000460244363600000624
001460244363600000029	000460244363610000739
001460244363600000029	000460244363600000679
001460244363600000029	000460244363610000748
001460244363600000029	000460244363610000775
001460244363600000029	000460244363600000642
001460244363600000029	000460244363600000651
001460244363600000029	000460244363600000633
001460244363600000029	000460244363610000757
001460244363600000029	000460244363610000766
001460244363600000029	000460244363600000660
001460244363600000029	000460244363610000818
001460244363600000029	000460244363610000809
001460244363600000029	000460244363610000793
001460244363600000029	000460244363610000784
001460244363600000029	000460244363600000697
001460244363600000029	000460244363600000688
001460244363600000029	000460244363610000836
001460244363600000029	000460244363610000827
001460244363600000029	000460244363610000845
001460244363600000029	000460244363600000730
001460244363600000029	000460244363610000872
001460244363600000029	000460244363610000863
001460244363600000029	000460244363600000721
001460244363600000029	000460244363600000703
001460244363600000029	000460244363600000712
001460244363600000029	000460244363610000854
001460244363600000029	000460244363610000881
001460244363600000029	000460244363610000890
001460244363600000038	000460244363610000915
001460244363600000038	000460244363600000794
001460244363600000038	000460244363600000767
001460244363600000038	000460244363610000924
001460244363600000038	000460244363600000776
001460244363600000038	000460244363600000785
001460244363600000038	000460244363610000906
001460244363600000038	000460244363600000758
001460244363600000038	000460244363600000749
001460244363600000038	000460244363610001002
001460244363600000038	000460244363600000837
001460244363600000038	000460244363600000846
001460244363600000038	000460244363610000997
001460244363600000038	000460244363600000873
001460244363600000038	000460244363610001020
001460244363600000038	000460244363610001039
001460244363600000038	000460244363600000864
001460244363600000038	000460244363610001011
001460244363600000038	000460244363610001084
001460244363600000038	000460244363610001066
001460244363600000038	000460244363600000882
001460244363600000038	000460244363600000855
001460244363600000038	000460244363610001048
001460244363600000038	000460244363610001057
001460244363600000038	000460244363610001093
001460244363600000038	000460244363600000934
001460244363600000038	000460244363600000925
001460244363600000038	000460244363600000952
001460244363600000038	000460244363610001127
001460244363600000038	000460244363610001109
001460244363600000038	000460244363600000916
001460244363600000038	000460244363610001075
001460244363600000038	000460244363600000907
001460244363600000038	000460244363610001118
001460244363600000038	000460244363610001136
001460244363600000038	000460244363600000961
001460244363600000038	000460244363600000891
001460244363600000038	000460244363610001154
001460244363600000038	000460244363610001163
001460244363600000038	000460244363600000989
001460244363600000038	000460244363600000998
001460244363600000038	000460244363610001172
001460244363600000038	000460244363600000970
001460244363600000038	000460244363610001145
001460244363600000038	000460244363600000943
001460244363600000038	000460244363610000979
001460244363600000038	000460244363600000800
001460244363600000038	000460244363610000988
001460244363600000038	000460244363610000960
001460244363600000038	000460244363610000933
001460244363600000038	000460244363610000942
001460244363600000038	000460244363610000951
001460244363600000038	000460244363600000819
001460244363600000038	000460244363600000828
001460244363600000047	000460244363600000484
001460244363600000047	000460244363610000553
001460244363600000047	000460244363600000493
001460244363600000047	000460244363610000580
001460244363600000047	000460244363600000509
001460244363600000047	000460244363610000571
001460244363600000047	000460244363610000562
001460244363600000047	000460244363610000544
001460244363600000047	000460244363610000535
001460244363600000047	000460244363610000517
001460244363600000047	000460244363610000526
001460244363600000047	000460244363610000508
001460244363600000047	000460244363610000483
001460244363600000047	000460244363600000457
001460244363600000047	000460244363600000448
001460244363600000047	000460244363610000492
001460244363600000047	000460244363600000475
001460244363600000047	000460244363600000466
001460244363600000047	000460244363600000402
001460244363600000047	000460244363600000411
001460244363600000047	000460244363600000420
001460244363600000047	000460244363610000456
001460244363600000047	000460244363610000465
001460244363600000047	000460244363610000474
001460244363600000047	000460244363610000410
001460244363600000047	000460244363610000401
001460244363600000047	000460244363610000386
001460244363600000047	000460244363600000439
001460244363600000047	000460244363610000447
001460244363600000047	000460244363610000438
001460244363600000047	000460244363610000429
001460244363600000047	000460244363600000396
001460244363600000047	000460244363600000387
